region,year,ev_sales,global_car_sales,ice_sales,ev_sales_share,ev_sales_share_change,ev_sales_share_growth,ev_sales_growth
Australia,2011,49,71200000,71199951,7e-05,0.0,0.0,0.0
Australia,2012,170,73800000,73799830,0.00023,0.00016,228.6,246.9
Australia,2013,190,77500000,77499810,0.00025,1.9999999999999998e-05,8.7,11.8
Australia,2014,370,80000000,79999630,0.00046,0.00021,84.0,94.7
Australia,2015,760,81800000,81799240,0.00093,0.00047000000000000004,102.2,105.4
Australia,2016,670,86400000,86399330,0.00078,-0.00015000000000000007,-16.1,-11.8
Australia,2017,1200,86300000,86298800,0.00139,0.00061,78.2,79.1
Australia,2018,1800,85600000,85598200,0.0021,0.0007099999999999999,51.1,50.0
Australia,2019,6300,81300000,81293700,0.00775,0.0056500000000000005,269.0,250.0
Australia,2020,5200,71800000,71794800,0.00724,-0.00051,-6.6,-17.5
Australia,2021,17000,74900000,74883000,0.0227,0.015460000000000002,213.5,226.9
Australia,2022,33000,74800000,74767000,0.04412,0.021419999999999998,94.4,94.1
Austria,2013,650,77500000,77499350,0.00084,0.0,0.0,0.0
Austria,2014,1700,80000000,79998300,0.00213,0.00129,153.6,161.5
Austria,2015,1700,81800000,81798300,0.00208,-5.000000000000013e-05,-2.3,0.0
Austria,2016,3800,86400000,86396200,0.0044,0.0023200000000000004,111.5,123.5
Austria,2017,5400,86300000,86294600,0.00626,0.0018599999999999997,42.3,42.1
Austria,2018,6800,85600000,85593200,0.00794,0.0016799999999999992,26.8,25.9
Austria,2019,9300,81300000,81290700,0.01144,0.0035000000000000014,44.1,36.8
Austria,2020,16000,71800000,71784000,0.02228,0.01084,94.8,72.0
Austria,2021,33000,74900000,74867000,0.04406,0.02178,97.8,106.2
Austria,2022,34000,74800000,74766000,0.04545,0.0013899999999999954,3.2,3.0
Belgium,2010,48,66700000,66699952,7e-05,0.0,0.0,0.0
Belgium,2011,280,71200000,71199720,0.00039,0.00031999999999999997,457.1,483.3
Belgium,2012,570,73800000,73799430,0.00077,0.00037999999999999997,97.4,103.6
Belgium,2013,500,77500000,77499500,0.00065,-0.00011999999999999999,-15.6,-12.3
Belgium,2014,1300,80000000,79998700,0.00162,0.0009699999999999999,149.2,160.0
Belgium,2015,1400,81800000,81798600,0.00171,9.000000000000002e-05,5.6,7.7
Belgium,2016,2100,86400000,86397900,0.00243,0.0007199999999999999,42.1,50.0
Belgium,2017,2700,86300000,86297300,0.00313,0.0007000000000000001,28.8,28.6
Belgium,2018,3600,85600000,85596400,0.00421,0.0010800000000000002,34.5,33.3
Belgium,2019,8800,81300000,81291200,0.01082,0.0066099999999999996,157.0,144.4
Belgium,2020,15000,71800000,71785000,0.02089,0.010069999999999999,93.1,70.5
Belgium,2021,23000,74900000,74877000,0.03071,0.009820000000000002,47.0,53.3
Belgium,2022,38000,74800000,74762000,0.0508,0.020089999999999997,65.4,65.2
Brazil,2012,74,73800000,73799926,0.0001,0.0,0.0,0.0
Brazil,2013,130,77500000,77499870,0.00017,7.000000000000001e-05,70.0,75.7
Brazil,2014,61,80000000,79999939,8e-05,-9e-05,-52.9,-53.1
Brazil,2015,59,81800000,81799941,7e-05,-1.0000000000000013e-05,-12.5,-3.3
Brazil,2016,130,86400000,86399870,0.00015,7.999999999999999e-05,114.3,120.3
Brazil,2017,25,86300000,86299975,3e-05,-0.00011999999999999999,-80.0,-80.8
Brazil,2018,66,85600000,85599934,8e-05,5.000000000000001e-05,166.7,164.0
Brazil,2019,540,81300000,81299460,0.00066,0.00058,725.0,718.2
Brazil,2020,680,71800000,71799320,0.00095,0.00029,43.9,25.9
Brazil,2021,2900,74900000,74897100,0.00387,0.0029200000000000003,307.4,326.5
Brazil,2022,8500,74800000,74791500,0.01136,0.00749,193.5,193.1
Canada,2011,220,71200000,71199780,0.00031,0.0,0.0,0.0
Canada,2012,620,73800000,73799380,0.00084,0.0005300000000000001,171.0,181.8
Canada,2013,1600,77500000,77498400,0.00206,0.0012200000000000002,145.2,158.1
Canada,2014,2800,80000000,79997200,0.0035,0.0014399999999999999,69.9,75.0
